SMILES,
O=[P@@]1(O)OC(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=C3)=C(/C(C4=C(C=CC=C5)C5=CC(C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)=C4O1)=C/C(C)(C)C)C7=C3C=CC=C7
O=C(O)/C(C1=C(/C=C/C2=CC=CC=C2)C=CC=C1C(C)C)=C/C3=CC=CC=C3
C/C=C/C=C(C1=CC=CC=C1)\C2=C(S(C)=O)C=CC3=CC=CC=C32
C[C@@H](C1=CC=CC=C1)N([C@@H](C2=CC=CC=C2)C)[P@]3OC(C=C4)=C(C(C5=C(C=CC=C6)C6=CC=C5O3)=CC(C)(C)C)C7=C4C=CC=C7
O=C1N(CC2=CC=CC=C2)C3=C(C=CC=C3)[C@@H]1[C@@H]([C@H]4NC(C=CC=C5)=C5C4)C6=C(NC(NCCP(C7=CC=CC=C7)C8=CC=CC=C8)=S)C=CC=C6
CC(C)(C)P1C2=C(C3=C(OC)C=CC(S(=O)(O[Na])=O)=C3OC)C=CC=C2OC1
CP(C(C)(C)C)C1=C(C2=C(C=CC=C3)C3=CC=C2C4=NC5=C(C=CC(OC)=C5)O4)C6=CC=CC=C6C=C1
